Seq,loc,v(g),ev(g),iv(g),uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
193,121.0,22.0,1.0,13.0,15,48,192,153,43,True
194,12.0,2.0,1.0,1.0,8,5,10,7,3,True
195,26.0,2.0,1.0,2.0,6,7,13,9,3,True
196,25.0,6.0,6.0,3.0,0,0,0,0,11,True
197,34.0,9.0,9.0,7.0,15,15,76,34,17,True
198,33.0,9.0,9.0,7.0,20,18,63,40,17,True
199,145.0,10.0,4.0,6.0,26,45,239,143,19,True
200,5.0,1.0,1.0,1.0,4,3,4,3,1,True
201,28.0,7.0,5.0,4.0,17,12,35,19,13,True
202,46.0,8.0,3.0,5.0,21,20,70,38,15,True
203,41.0,10.0,10.0,4.0,22,18,73,47,19,True
204,85.0,18.0,14.0,17.0,23,36,148,90,35,True
205,60.0,16.0,7.0,6.0,23,17,122,71,31,True
206,31.0,7.0,5.0,5.0,22,22,68,45,13,True
207,39.0,8.0,6.0,6.0,23,23,77,52,15,True
208,27.0,6.0,4.0,4.0,20,19,58,36,11,True
209,62.0,16.0,13.0,7.0,21,23,139,87,31,True
210,138.0,35.0,21.0,17.0,26,46,210,147,51,True
211,30.0,8.0,7.0,4.0,0,0,0,0,15,True
212,34.0,9.0,1.0,6.0,0,0,0,0,17,True
213,13.0,4.0,4.0,2.0,0,0,0,0,7,True
214,26.0,34.0,34.0,1.0,14,7,229,104,67,True
215,43.0,11.0,1.0,10.0,11,34,145,90,21,True
216,67.0,11.0,10.0,8.0,0,0,0,0,21,True
217,14.0,4.0,1.0,4.0,0,0,0,0,7,True
218,17.0,5.0,4.0,2.0,14,14,29,18,9,True
219,31.0,4.0,3.0,2.0,12,12,23,18,7,True
220,42.0,7.0,4.0,4.0,18,18,49,35,13,True
221,19.0,2.0,1.0,2.0,12,9,24,15,3,True
222,20.0,3.0,1.0,2.0,11,19,41,27,5,True
223,13.0,5.0,5.0,3.0,15,9,32,19,9,True
224,14.0,3.0,1.0,2.0,9,5,15,7,5,True
225,20.0,4.0,1.0,4.0,12,9,28,23,7,True
226,130.0,25.0,11.0,9.0,24,48,258,198,49,True
227,37.0,6.0,6.0,4.0,15,14,39,26,11,True
228,24.0,8.0,7.0,5.0,15,17,42,30,15,True
229,89.0,9.0,6.0,4.0,25,35,123,93,17,True
230,28.0,9.0,8.0,3.0,24,17,82,43,17,True
231,91.0,11.0,11.0,9.0,19,42,149,96,21,True
232,42.0,6.0,5.0,5.0,12,36,65,52,11,True
233,74.0,8.0,3.0,6.0,23,26,166,133,11,True
234,33.0,4.0,4.0,3.0,16,16,39,28,7,True
235,96.0,11.0,4.0,9.0,18,36,141,91,21,True
236,6.0,1.0,1.0,1.0,3,3,7,3,1,True
237,9.0,3.0,3.0,2.0,11,7,14,9,5,True
238,21.0,7.0,7.0,3.0,11,15,48,38,13,True
239,113.0,19.0,1.0,10.0,16,33,268,163,37,True
240,5.0,1.0,1.0,1.0,5,4,7,4,1,True
241,7.0,2.0,1.0,2.0,7,4,9,5,3,True
242,43.0,4.0,1.0,3.0,15,21,87,50,7,True
243,63.0,12.0,1.0,8.0,21,33,98,62,19,True
244,8.0,1.0,1.0,1.0,5,8,9,9,1,True
245,8.0,1.0,1.0,1.0,4,6,8,6,1,True
246,8.0,1.0,1.0,1.0,4,6,8,6,1,True
247,573.0,38.0,17.0,19.0,0,0,0,0,75,True
248,104.0,13.0,5.0,10.0,25,23,202,107,25,True
249,77.0,8.0,5.0,5.0,24,19,175,89,15,True
250,39.0,4.0,1.0,4.0,13,23,64,48,7,True
251,30.0,4.0,3.0,2.0,26,18,72,36,7,True
252,79.0,7.0,1.0,6.0,13,26,86,60,13,True
253,240.0,40.0,6.0,34.0,38,87,683,415,74,True
254,86.0,12.0,1.0,2.0,24,32,87,49,13,True
255,82.0,15.0,1.0,14.0,9,33,105,87,29,True
256,101.0,22.0,19.0,7.0,22,24,186,118,43,True
257,55.0,12.0,12.0,3.0,27,34,117,86,23,True
258,41.0,5.0,1.0,3.0,0,0,0,0,9,True
259,35.0,12.0,5.0,2.0,0,0,0,0,23,True
260,8.0,1.0,1.0,1.0,5,4,6,5,1,True
261,200.0,25.0,20.0,11.0,0,0,0,0,49,True
262,27.0,2.0,1.0,1.0,10,16,33,28,3,True
263,32.0,3.0,1.0,2.0,17,22,44,29,4,True
264,41.0,7.0,6.0,2.0,0,0,0,0,13,True
265,165.0,16.0,11.0,11.0,0,0,0,0,31,True
266,23.0,4.0,1.0,3.0,15,13,32,21,7,True
267,16.0,3.0,3.0,2.0,16,11,26,16,5,True
268,54.0,7.0,1.0,7.0,12,15,94,68,13,True
269,31.0,1.0,1.0,1.0,0,0,0,0,1,True
270,15.0,1.0,1.0,1.0,9,12,41,25,1,True
271,7.0,1.0,1.0,1.0,7,4,18,8,1,True
272,31.0,12.0,7.0,2.0,0,0,0,0,23,True
273,81.0,24.0,18.0,2.0,22,21,137,94,47,True
274,27.0,8.0,7.0,3.0,17,12,45,26,15,True
275,164.0,5.0,1.0,5.0,15,76,455,379,9,True
276,116.0,2.0,1.0,1.0,16,101,261,225,3,True
277,56.0,5.0,1.0,5.0,16,43,135,108,9,True
278,60.0,8.0,5.0,3.0,23,24,89,67,15,True
279,36.0,4.0,1.0,2.0,0,0,0,0,7,True
280,7.0,1.0,1.0,1.0,0,0,0,0,1,True
281,184.0,9.0,7.0,1.0,19,87,364,329,17,True
282,469.0,2.0,1.0,2.0,16,104,616,570,3,True
283,242.0,3.0,3.0,3.0,18,165,691,546,5,True
284,96.0,1.0,1.0,1.0,10,56,258,210,1,True
285,463.0,94.0,52.0,68.0,26,126,1060,696,187,True
286,169.0,5.0,1.0,5.0,15,75,459,383,9,True
287,221.0,1.0,1.0,1.0,11,112,792,604,1,True
288,95.0,22.0,19.0,16.0,0,0,0,0,45,True
289,85.0,4.0,1.0,3.0,14,20,186,131,7,True
290,113.0,1.0,1.0,1.0,8,59,294,271,1,True
291,91.0,2.0,1.0,2.0,14,62,133,127,3,True
292,22.0,3.0,1.0,3.0,12,21,33,28,5,True
293,57.0,7.0,5.0,3.0,25,25,99,73,13,True
294,22.0,2.0,1.0,2.0,11,17,36,30,3,True
295,22.0,2.0,1.0,2.0,11,18,36,30,3,True
296,163.0,5.0,1.0,5.0,15,77,458,382,9,True
297,166.0,1.0,1.0,1.0,5,32,71,70,1,True
298,15.0,1.0,1.0,1.0,6,13,17,15,1,True
299,41.0,5.0,3.0,3.0,13,29,61,49,9,True
300,61.0,26.0,24.0,8.0,23,43,177,120,51,True
301,56.0,6.0,5.0,2.0,24,23,90,64,11,True
302,55.0,6.0,1.0,6.0,14,17,89,64,11,True
303,415.0,9.0,1.0,8.0,19,162,1118,939,17,True
304,43.0,2.0,1.0,2.0,9,31,71,67,3,True
305,21.0,6.0,4.0,3.0,0,0,0,0,11,True
306,50.0,6.0,1.0,6.0,0,0,0,0,11,True
307,163.0,5.0,1.0,5.0,15,75,459,383,9,True
308,168.0,5.0,1.0,5.0,15,76,464,388,9,True
309,324.0,6.0,1.0,6.0,17,138,820,720,11,True
310,169.0,5.0,1.0,5.0,15,76,459,383,9,True
311,139.0,5.0,1.0,5.0,15,80,491,406,9,True
312,455.0,23.0,1.0,11.0,26,160,966,834,45,True
313,66.0,3.0,1.0,3.0,10,58,126,87,5,True
314,106.0,3.0,1.0,3.0,14,69,225,197,5,True
315,123.0,2.0,1.0,2.0,20,87,373,288,3,True
316,124.0,7.0,1.0,3.0,15,60,350,293,13,True
317,163.0,5.0,1.0,5.0,15,77,458,382,9,True
318,77.0,1.0,1.0,1.0,8,67,190,175,1,True
319,26.0,2.0,1.0,2.0,8,10,23,17,3,True
320,65.0,7.0,1.0,4.0,22,25,105,65,13,True
321,52.0,6.0,5.0,2.0,21,20,69,48,11,True
322,24.0,4.0,1.0,2.0,0,0,0,0,7,True
323,53.0,10.0,6.0,6.0,14,22,72,55,19,True
324,24.0,5.0,4.0,4.0,11,17,38,30,9,True
325,17.0,2.0,1.0,2.0,8,11,16,13,3,True
326,45.0,1.0,1.0,1.0,13,32,85,55,1,True
327,38.0,3.0,3.0,2.0,15,34,80,59,5,True
328,57.0,3.0,3.0,2.0,0,0,0,0,5,True
329,152.0,3.0,1.0,3.0,18,70,263,171,5,True
330,34.0,7.0,4.0,5.0,13,19,49,37,13,True
331,14.0,1.0,1.0,1.0,0,0,0,0,1,True
332,55.0,4.0,1.0,2.0,14,22,87,81,7,True
333,42.0,5.0,1.0,3.0,15,17,62,45,9,True
334,35.0,4.0,3.0,2.0,12,15,37,25,7,True
335,36.0,4.0,1.0,4.0,14,13,56,38,7,True
336,117.0,18.0,10.0,13.0,24,42,173,123,35,True
337,13.0,3.0,1.0,3.0,9,6,19,11,5,True
338,4.0,1.0,1.0,1.0,6,1,6,1,1,True
339,30.0,4.0,3.0,3.0,18,21,89,48,7,True
340,17.0,2.0,1.0,2.0,8,10,15,12,3,True
341,19.0,3.0,1.0,2.0,11,11,20,15,5,True
342,13.0,3.0,3.0,2.0,13,14,26,20,5,True
343,6.0,1.0,1.0,1.0,5,5,8,6,1,True
344,8.0,1.0,1.0,1.0,0,0,0,0,1,True
345,11.0,1.0,1.0,1.0,12,5,17,8,1,True
346,18.0,2.0,1.0,2.0,9,10,16,12,3,True
347,67.0,11.0,1.0,11.0,22,24,128,83,15,True
348,4.0,1.0,1.0,1.0,5,2,5,3,1,True
349,70.0,9.0,5.0,8.0,19,22,128,88,16,True
350,32.0,5.0,1.0,4.0,10,14,35,31,9,True
351,20.0,5.0,4.0,4.0,8,11,22,19,9,True
352,14.0,4.0,4.0,4.0,9,8,19,13,7,True
353,70.0,7.0,4.0,6.0,26,33,101,81,13,True
354,37.0,6.0,1.0,4.0,17,19,50,44,11,True
355,88.0,14.0,9.0,13.0,14,50,177,158,27,True
356,95.0,5.0,1.0,5.0,18,27,117,79,9,True
357,186.0,28.0,20.0,8.0,29,28,261,173,55,True
358,50.0,11.0,10.0,2.0,19,16,152,86,21,True
359,27.0,5.0,3.0,3.0,?,?,?,?,?,True
360,57.0,5.0,1.0,4.0,12,16,61,49,9,True
361,165.0,22.0,1.0,18.0,20,71,226,183,43,True
362,35.0,3.0,1.0,3.0,14,20,58,32,5,True
363,24.0,3.0,1.0,3.0,12,12,31,19,5,True
364,67.0,12.0,7.0,6.0,26,29,148,97,23,True
365,23.0,4.0,1.0,4.0,16,14,34,28,7,True
366,74.0,12.0,10.0,5.0,0,0,0,0,23,True
367,10.0,2.0,1.0,2.0,14,11,37,19,3,True
368,50.0,8.0,1.0,7.0,19,16,72,39,15,True
369,52.0,9.0,5.0,9.0,0,0,0,0,17,True
370,18.0,2.0,1.0,2.0,7,5,10,6,3,True
371,31.0,12.0,12.0,11.0,20,31,79,52,23,True
372,94.0,12.0,1.0,10.0,33,44,137,103,20,True
373,5.0,1.0,1.0,1.0,7,4,8,6,1,True
374,19.0,6.0,1.0,3.0,14,16,37,26,11,True
375,4.0,1.0,1.0,1.0,3,2,3,2,1,True
376,33.0,1.0,1.0,1.0,5,26,61,43,1,True
377,36.0,2.0,1.0,2.0,6,33,167,165,3,True
378,41.0,7.0,6.0,5.0,19,24,75,38,13,True
379,23.0,2.0,1.0,2.0,13,20,46,40,3,True
380,591.0,88.0,44.0,51.0,30,175,1080,785,175,True
381,10.0,1.0,1.0,1.0,5,12,18,17,1,True
382,5.0,1.0,1.0,1.0,5,6,8,7,1,True
383,115.0,2.0,1.0,1.0,19,69,375,205,3,True
384,113.0,16.0,9.0,10.0,23,39,210,140,31,True
385,17.0,3.0,1.0,1.0,7,7,13,10,5,True
386,200.0,52.0,13.0,37.0,39,86,896,438,92,True
387,18.0,2.0,1.0,2.0,0,0,0,0,3,True
388,35.0,4.0,1.0,4.0,0,0,0,0,7,True
389,84.0,22.0,6.0,9.0,34,33,321,124,42,True
390,36.0,4.0,1.0,4.0,15,19,42,29,7,True
391,65.0,9.0,7.0,5.0,18,24,100,84,17,True
392,9.0,3.0,3.0,2.0,12,7,15,9,5,True
393,13.0,3.0,1.0,3.0,9,8,17,15,5,True
394,5.0,1.0,1.0,1.0,6,5,8,5,1,True
395,20.0,7.0,7.0,3.0,14,9,25,16,13,True
396,30.0,6.0,5.0,5.0,19,13,47,29,11,True
397,45.0,5.0,1.0,4.0,18,32,83,65,7,True
398,15.0,4.0,4.0,2.0,13,7,19,9,7,True
399,107.0,14.0,7.0,9.0,19,68,178,139,27,True
400,54.0,8.0,3.0,5.0,25,22,129,69,15,True
401,112.0,20.0,15.0,7.0,23,33,240,142,39,True
402,246.0,46.0,39.0,13.0,24,43,513,332,91,True
403,48.0,8.0,7.0,5.0,19,26,86,56,15,True
404,18.0,1.0,1.0,1.0,0,0,0,0,1,True
405,31.0,5.0,1.0,5.0,12,13,36,19,9,True
406,14.0,2.0,1.0,2.0,9,16,28,22,3,True
407,14.0,2.0,1.0,2.0,8,7,16,11,3,True
408,34.0,5.0,3.0,5.0,13,27,54,48,9,True
409,16.0,2.0,1.0,2.0,8,10,17,13,3,True
410,21.0,2.0,1.0,2.0,8,10,20,16,3,True
411,6.0,1.0,1.0,1.0,5,4,6,4,1,True
412,45.0,5.0,1.0,5.0,10,26,61,49,13,True
413,7.0,1.0,1.0,1.0,3,3,3,3,1,True
414,21.0,2.0,1.0,2.0,12,8,52,25,3,True
415,6.0,1.0,1.0,1.0,3,1,3,1,1,True
416,7.0,1.0,1.0,1.0,3,3,3,3,1,True
417,14.0,2.0,1.0,1.0,5,5,6,6,3,True
418,5.0,1.0,1.0,1.0,3,1,3,1,1,True
419,63.0,7.0,4.0,5.0,18,19,99,55,13,True
420,12.0,2.0,1.0,2.0,7,11,15,15,3,True
421,26.0,6.0,5.0,2.0,0,0,0,0,11,True
422,46.0,12.0,11.0,8.0,16,9,88,37,23,True
423,37.0,10.0,9.0,3.0,16,19,71,51,19,True
424,24.0,10.0,8.0,2.0,16,12,35,25,19,True
425,36.0,6.0,4.0,5.0,14,25,58,43,11,True
426,14.0,2.0,1.0,2.0,8,6,11,10,3,True
427,12.0,2.0,1.0,2.0,6,6,10,8,3,True
428,8.0,1.0,1.0,1.0,7,7,19,12,1,True
429,60.0,8.0,4.0,7.0,18,27,88,58,15,True
430,41.0,4.0,3.0,3.0,11,14,32,26,7,True
431,5.0,1.0,1.0,1.0,7,4,8,6,1,True
432,16.0,2.0,1.0,1.0,9,12,22,19,3,True
433,4.0,1.0,1.0,1.0,4,3,4,3,1,True
434,24.0,6.0,6.0,2.0,18,17,51,40,11,True
435,44.0,5.0,4.0,3.0,0,0,0,0,9,True
436,367.0,48.0,7.0,44.0,24,87,646,445,95,True
437,29.0,5.0,1.0,3.0,16,19,69,40,9,True
438,29.0,5.0,1.0,3.0,16,37,68,56,9,True
439,34.0,5.0,1.0,3.0,12,13,37,27,9,True
440,49.0,6.0,1.0,4.0,15,19,85,61,11,True
441,33.0,4.0,1.0,4.0,10,16,46,33,7,True
442,52.0,9.0,9.0,6.0,0,0,0,0,17,True
443,41.0,5.0,1.0,5.0,14,26,64,48,6,True
444,40.0,2.0,1.0,1.0,10,21,70,52,3,True
445,31.0,2.0,1.0,1.0,11,19,49,36,3,True
446,7.0,1.0,1.0,1.0,4,2,4,2,1,True
447,44.0,5.0,5.0,4.0,0,0,0,0,9,True
448,30.0,4.0,1.0,1.0,13,13,30,24,7,True
449,51.0,16.0,9.0,3.0,0,0,0,0,31,True
450,22.0,2.0,1.0,2.0,0,0,0,0,3,True
451,35.0,3.0,1.0,3.0,0,0,0,0,5,True
452,33.0,2.0,1.0,2.0,0,0,0,0,3,True
453,112.0,48.0,44.0,9.0,22,36,229,177,95,True
454,4.0,1.0,1.0,1.0,4,3,4,3,1,True
455,13.0,2.0,1.0,1.0,5,13,15,15,3,True
456,15.0,2.0,1.0,2.0,11,16,23,20,3,True
457,12.0,2.0,1.0,2.0,7,10,13,10,3,True
458,115.0,14.0,1.0,7.0,14,40,160,141,27,True
459,10.0,1.0,1.0,1.0,6,10,17,15,1,True
460,44.0,8.0,8.0,3.0,0,0,0,0,15,True
461,41.0,5.0,1.0,4.0,17,23,105,59,9,True
462,169.0,21.0,1.0,13.0,28,56,332,202,37,True
